SITE TYPE,SITE NAME,HOURS OF OPERATION,ADDRESS,CITY,STATE,ZIP,PHONE,MONDAY-OPEN,MONDAY-CLOSE,TUESDAY-OPEN,TUESDAY-CLOSE,WEDNESDAY-OPEN,WEDNESDAY-CLOSE,THURSDAY-OPEN,THURSDAY-CLOSE,FRIDAY-OPEN,FRIDAY-CLOSE,SATURDAY-OPEN,SATURDAY-CLOSE,SUNDAY-OPEN,SUNDAY-CLOSE,ADDITIONAL NOTES,LOCATION
Library,Dunning,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",7455 W Cornelia Ave,Chicago,IL,60634,(312) 743-0480,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"7455 Cornelia Ave
Chicago, IL 60634
(41.94327523068454, -87.81342276248131)"
Library,Edgebrook,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",5331 W Devon Ave,Chicago,IL,60646,(312) 744-8313,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"5331 Devon Ave
Chicago, IL 60646
(41.99724412647362, -87.7621183558191)"
Library,Edgewater,"M: Closed; Tu-th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed; ",1210 W Elmdale Ave,Chicago,IL,60660,(312) 744-0718,CLOSED,CLOSED,10:00AM,6:00PM,10:00AM,6:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"1210 Elmdale Ave
Chicago, IL 60660
(41.990942289427046, -87.66078987686434)"
Library,Gage Park,"M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",2807 W 55th St,Chicago,IL,60632,(312) 747-0032,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"2807 55th St
Chicago, IL 60632
(41.79366459870096, -87.69412961040405)"
Library,Galewood-Mont Clare,"M-th: 10am-6pm; F: 9am-5pm; Sa, Su: Closed",6871 W Belden Ave,Chicago,IL,60707,(312) 746-0165,10:00AM,6:00PM,10:00AM,6:00PM,10:00AM,6:00PM,10:00AM,6:00PM,9:00AM,5:00PM,CLOSED,CLOSED,CLOSED,CLOSED,,"6871 Belden Ave
Chicago, IL 60707
(41.92109609237066, -87.79728784408778)"
Library,Garfield Ridge,"M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",6348 S Archer Ave,Chicago,IL,60638,(312) 747-6094,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"6348 Archer Ave
Chicago, IL 60638
(41.79281923599342, -87.78018573538776)"
Library,Greater Grand Crossing,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",1000 East 73rd St,Chicago,IL,60619,(312) 745-1608,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"1000 73rd St
Chicago, IL 60619
(41.76231423275959, -87.60040226851038)"
Library,Hall,"M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",4801 S Michigan Ave,Chicago,IL,60615,(312) 747-2541,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"4801 Michigan Ave
Chicago, IL 60615
(41.80740636174217, -87.62272923100159)"
Library,Harold Washington-HWLC,"M-th: 9am-9pm; F, Sa: 9am-5pm; Su: 1pm-5pm",400 S State St,Chicago,IL,60605,(312) 747-4300,9:00AM,9:00PM,9:00AM,9:00PM,9:00AM,9:00PM,9:00AM,9:00PM,9:00AM,5:00PM,9:00AM,5:00PM,1:00PM,5:00PM,,"400 State St
Chicago, IL 60605
(41.876895532791686, -87.6277248103858)"
Library,Hegewisch,"M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",3048 E 130th St,Chicago,IL,60633,(312) 747-0046,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"3048 130th St
Chicago, IL 60633
(41.65923625090685, -87.54920989297193)"
Library,Independence,"M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",3548 W Irving Park Rd,Chicago,IL,60618,(312) 744-0900,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"3548 Irving Park Rd
Chicago, IL 60618
(41.95384370879839, -87.71691771117403)"
Library,Jefferson Park,"M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",5363 W Lawrence Ave,Chicago,IL,60630,(312) 744-1998,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"5363 Lawrence Ave
Chicago, IL 60630
(41.967562324592144, -87.76172176849617)"
Library,Jeffery Manor,"M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",2401 E 100th St,Chicago,IL,60617,(312) 747-6479,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"2401 100th St
Chicago, IL 60617
(41.713490039788894, -87.5654186415706)"
Library,Kelly,"M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",6151 S Normal Blvd,Chicago,IL,60621,(312) 747-8418,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"6151 Normal Blvd
Chicago, IL 60621
(41.782343495330295, -87.63746875075267)"
Library,King,"M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",3436 S King Drive,Chicago,IL,60616,(312) 747-7543,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"3436 King Drive
Chicago, IL 60616
(41.83225513635272, -87.61739931187078)"
Library,Legler,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",115 S Pulaski Rd,Chicago,IL,60624,(312) 746-7730,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"115 Pulaski Rd
Chicago, IL 60624
(41.87930825979932, -87.7255367645667)"
Library,Lincoln Belmont,"M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",1659 W Melrose St,Chicago,IL,60657,(312) 744-0166,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"1659 Melrose St
Chicago, IL 60657
(41.94051995055977, -87.67026591076159)"
Library,Lincoln Park,"M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",1150 W Fullerton Ave,Chicago,IL,60614,(312) 744-1926,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"1150 Fullerton Ave
Chicago, IL 60614
(41.9253163505702, -87.65806679702911)"
Library,Little Village,"M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",2311 S Kedzie Ave,Chicago,IL,60623,(312) 745-1862,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"2311 Kedzie Ave
Chicago, IL 60623
(41.84967263862272, -87.70511291339608)"
Library,Logan Square,"M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",3030 W Fullerton Ave,Chicago,IL,60647,(312) 744-5295,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"3030 Fullerton Ave
Chicago, IL 60647
(41.92478575057294, -87.70341960696669)"
Library,Lozano,"M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",1805 S Loomis St,Chicago,IL,60608,(312) 746-4329,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"1805 Loomis St
Chicago, IL 60608
(41.857820778174656, -87.66122498707978)"
Library,Manning,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",6 S Hoyne Ave,Chicago,IL,60612,(312) 746-6800,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"6 Hoyne Ave
Chicago, IL 60612
(41.88117718045707, -87.67916344433422)"
Library,Mayfair,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",4400 W Lawrence Ave,Chicago,IL,60630,(312) 744-1254,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"4400 Lawrence Ave
Chicago, IL 60630
(41.968151058825754, -87.73825034916149)"
Library,McKinley Park,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",1915 W 35th St,Chicago,IL,60609,(312) 747-6082,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"1915 35th St
Chicago, IL 60609
(41.83035158005777, -87.67343099318283)"
Library,Merlo,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",644 W Belmont Ave,Chicago,IL,60657,(312) 744-1139,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"644 Belmont Ave
Chicago, IL 60657
(41.94009280245566, -87.64568431625388)"
Library,Mount Greenwood,"M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",11010 S Kedzie Ave,Chicago,IL,60655,(312) 747-2805,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"11010 Kedzie Ave
Chicago, IL 60655
(41.69298549752085, -87.70091049850498)"
Library,Near North,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",310 W Division St,Chicago,IL,60610,(312) 744-0991,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"310 Division St
Chicago, IL 60610
(41.90383476840986, -87.6369110556418)"
Library,North Austin,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",5724 W North Ave,Chicago,IL,60639,(312) 746-4233,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"5724 North Ave
Chicago, IL 60639
(41.909385967328426, -87.76886746051726)"
Library,North Pulaski,"M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",4300 W North Ave,Chicago,IL,60639,(312) 744-9573,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"4300 North Ave
Chicago, IL 60639
(41.90982103200537, -87.73432031189344)"
Library,Northtown,"M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",6435 N California Ave,Chicago,IL,60645,(312) 744-2292,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"6435 California Ave
Chicago, IL 60645
(41.998212242087206, -87.69958791971804)"
Library,Oriole Park,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",7454 W Balmoral Ave,Chicago,IL,60656,(312) 744-1965,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"7454 Balmoral Ave
Chicago, IL 60656
(41.97806049179239, -87.81330682610985)"
Library,Portage-Cragin,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",5108 W Belmont Ave,Chicago,IL,60641,(312) 744-0152,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"5108 Belmont Ave
Chicago, IL 60641
(41.938785132222925, -87.75463221938679)"
Library,Pullman,"M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",11001 S Indiana Ave,Chicago,IL,60628,(312) 747-2033,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"11001 Indiana Ave
Chicago, IL 60628
(41.6943993478663, -87.61821423954542)"
Library,Roden,"M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",6083 N Northwest Highway,Chicago,IL,60631,(312) 744-1478,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"6083 Northwest Highway
Chicago, IL 60631
(41.99195084318547, -87.79821674928576)"
Library,Rogers Park,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",6907 N Clark St,Chicago,IL,60626,(312) 744-0156,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"6907 Clark St
Chicago, IL 60626
(42.006781595898914, -87.67336257682068)"
Library,Roosevelt,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",1101 W Taylor St,Chicago,IL,60607,(312) 746-5656,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"1101 Taylor St
Chicago, IL 60607
(41.86943247966951, -87.65444252925101)"
Library,Scottsdale,"M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",4101 W 79th St,Chicago,IL,60652,(312) 747-0193,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"4101 79th St
Chicago, IL 60652
(41.749352804211014, -87.72436124811308)"
Library,Sherman Park,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",5440 S Racine Ave,Chicago,IL,60609,(312) 747-0477,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"5440 Racine Ave
Chicago, IL 60609
(41.79522560459017, -87.65497322295496)"
Library,South Chicago,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",9055 S Houston Ave,Chicago,IL,60617,(312) 747-8065,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"9055 Houston Ave
Chicago, IL 60617
(41.73091178472393, -87.54977619813424)"
Library,South Shore,"M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",2505 E 73rd St,Chicago,IL,60649,(312) 747-5281,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"2505 73rd St
Chicago, IL 60649
(41.761792625982594, -87.56213611616369)"
Library,Sulzer Regional,"M-th: 9am-9pm; F, Sa: 9am-5pm; Su: 1pm-5pm",4455 N Lincoln Ave,Chicago,IL,60625,(312) 744-7616,9:00AM,9:00PM,9:00AM,9:00PM,9:00AM,9:00PM,9:00AM,9:00PM,9:00AM,5:00PM,9:00AM,5:00PM,1:00PM,5:00PM,,"4455 Lincoln Ave
Chicago, IL 60625
(41.96250382118604, -87.68448133764942)"
Library,Thurgood Marshall,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",7506 S Racine Ave,Chicago,IL,60620,(312) 747-5927,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"7506 Racine Ave
Chicago, IL 60620
(41.75745172208852, -87.65398226057334)"
Library,Toman,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",2708 S Pulaski Rd,Chicago,IL,60623,(312) 745-1660,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"2708 Pulaski Rd
Chicago, IL 60623
(41.842057117097625, -87.72452669499438)"
Library,Uptown,"M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",929 W Buena Ave,Chicago,IL,60613,(312) 744-8400,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"929 Buena Ave
Chicago, IL 60613
(41.95837819368438, -87.65349928925056)"
Library,Vodak-East Side,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",3710 E 106th St,Chicago,IL,60617,(312) 747-5500,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"3710 106th St
Chicago, IL 60617
(41.70277012119965, -87.53351069597107)"
Library,Walker,"M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",11071 S Hoyne Ave,Chicago,IL,60643,(312) 747-1920,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"11071 Hoyne Ave
Chicago, IL 60643
(41.692425806405964, -87.67413447354456)"
Library,Water Works,"M-th: 9am-7pm; F, Sa: 9am-5pm; Su: 1pm-5pm",163 E Pearson St,Chicago,IL,60611,(312) 742-8811,9:00AM,7:00PM,9:00AM,7:00PM,9:00AM,7:00PM,9:00AM,7:00PM,9:00AM,5:00PM,9:00AM,5:00PM,1:00PM,5:00PM,,"163 Pearson St
Chicago, IL 60611
(41.897534902298894, -87.62299896446554)"
Library,West Belmont,"M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",3104 N Narragansett Ave,Chicago,IL,60634,(312) 746-5142,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"3104 Narragansett Ave
Chicago, IL 60634
(41.93661158805253, -87.78594973344748)"
Library,West Chicago Ave,"M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",4856 W Chicago Ave,Chicago,IL,60651,(312) 743-0260,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"4856 Chicago Ave
Chicago, IL 60651
(41.89500919818278, -87.74789108131557)"
Library,West Englewood,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",1745 W 63rd St,Chicago,IL,60636,(312) 747-3481,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"1745 63rd St
Chicago, IL 60636
(41.77934452087478, -87.66814610717171)"
Library,West Lawn,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",4020 W 63rd St,Chicago,IL,60629,(312) 747-7381,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"4020 63rd St
Chicago, IL 60629
(41.778718730032836, -87.72357170491985)"
Library,West Pullman,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",830 W 119th St,Chicago,IL,60643,(312) 747-1425,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"830 119th St
Chicago, IL 60643
(41.677842548079575, -87.64351692717509)"
Library,West Town,"M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",1625 W Chicago Ave,Chicago,IL,60622,(312) 743-0450,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"1625 Chicago Ave
Chicago, IL 60622
(41.89603442529619, -87.66849893256898)"
Library,"Whitney M. Young, Jr.","M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",7901 S King Drive,Chicago,IL,60619,(312) 747-0039,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"7901 King Drive
Chicago, IL 60619
(41.75108787672468, -87.6148795540565)"
Library,Woodson Regional,"M-th: 9am-9pm; F, Sa: 9am-5pm; Su: 1pm-5pm",9525 S Halsted St,Chicago,IL,60628,(312) 747-6900,9:00AM,9:00PM,9:00AM,9:00PM,9:00AM,9:00PM,9:00AM,9:00PM,9:00AM,5:00PM,9:00AM,5:00PM,1:00PM,5:00PM,,"9525 Halsted St
Chicago, IL 60628
(41.72096170139649, -87.64305653437839)"
Library,Wrightwood-Ashburn,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",8530 S Kedzie Ave,Chicago,IL,60652,(312) 747-2696,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"8530 Kedzie Ave
Chicago, IL 60652
(41.73836545679345, -87.70215502694877)"
Community Service Center,Trina Davila Center,Mon - Fri 9:00 A.M. To 5:00 P.M.,4312 W North Ave,Chicago,IL,60639,311,9:00AM,5:00PM,9:00AM,5:00PM,9:00AM,5:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,CLOSED,CLOSED,,"4312 W North Ave
Chicago, IL 60639
(41.9098432, -87.7364671)"
